,Dominant_topic,topic_name
0,55,['vapo pad']
1,87,['quit working']
2,85,['amp quot']
3,15,['keep humidifier']
4,78,['year stopped']
5,43,['exactly needed']
6,96,['help breathe']
7,27,['vapo steam']
8,65,['leaking water']
9,100,['hold water']
10,64,['work perfectly']
11,91,['boiling water']
12,58,['nice humidifier']
13,38,['product quiet']
14,2,['kid room']
15,73,['clean quiet']
16,82,['size easy']
17,5,['dry winter']
18,59,['work quiet']
19,42,['good size']
20,41,['small room']
21,40,['product price']
22,68,['accompany rating']
23,21,['help sleep']
24,25,['easy operate']
25,101,['product work']
26,63,['easy clean']
27,99,['nice easy']
28,62,['moisture room']
29,56,['price work']
30,18,['quiet work']
31,4,['tank water']
32,76,['fast delivery']
33,26,['essential oil']
34,53,['easy fill']
35,19,['day return']
36,77,['product received']
37,23,['steam coming']
38,11,['sinus relief']
39,98,['waste money']
40,75,['lot water']
41,50,['poor quality']
42,54,['fast shipping']
43,89,['easy set']
44,66,['browser support']
45,17,['small area']
46,36,['good quality']
47,92,['good stuff']
48,24,['perfect bedroom']
49,88,['work night']
50,6,['smell vicks']
51,72,['vicks pad']
52,84,['work amazing']
53,93,['exactly advertised']
54,86,['vapor pad']
55,12,['sleep night']
56,32,['auto shut']
57,83,['stopped working']
58,80,['easy work']
59,47,['smell good']
60,51,['work bedroom']
61,14,['leave review']
62,28,['clear sinus']
63,16,['work supposed']
64,29,['work good']
65,13,['tap water']
66,71,['help cold']
67,7,['year ago']
68,60,['good money']
69,20,['hard clean']
70,61,['work expected']
71,79,['work problem']
72,8,['good product']
73,10,['water clean']
74,67,['waste time']
75,94,['baby room']
76,49,['good job']
77,30,['work humidifier']
78,97,['work easy']
79,44,['easy helpful']
80,70,['work minute']
81,34,['good small']
82,31,['good price']
83,35,['vicks humidifier']
84,90,['work help']
85,33,['working good']
86,69,['best humidifier']
87,3,['breath better']
88,37,['excellent product']
89,74,['product steam']
90,48,['salt water']
91,46,['easy maintain']
92,39,['pad work']
93,9,['work wonder']
94,45,['bought gift']
95,57,['nice product']
96,22,['clean work']
97,95,['produce steam']
98,52,['work perfect']
99,81,['night light']
