,Dominant_topic,topic_name
0,89,['humidifier hold']
1,97,['light bright']
2,76,['regular vicks']
3,65,['nice product']
4,41,['water tank']
5,86,['good money']
6,38,['vaporizer amp']
7,48,['excelente inversin']
8,62,['reset light']
9,46,['image appears']
10,57,['vapor pad']
11,61,['low setting']
12,19,['sinus issue']
13,84,['easy set']
14,91,['cool steam']
15,34,['air dry']
16,95,['help breathe']
17,37,['started grinding']
18,64,['work better']
19,71,['brand frequently']
20,23,['product easy']
21,25,['moist air']
22,24,['good product']
23,2,['vinegar water']
24,45,['smell eucalyptus']
25,73,['night sleep']
26,22,['plastic fume']
27,8,['burning plastic']
28,49,['help keep']
29,52,['small room']
30,88,['high setting']
31,30,['noise level']
32,27,['feeling sick']
33,43,['filtered version']
34,67,['scent money']
35,33,['menthol pad']
36,44,['refill day']
37,10,['baby room']
38,28,['vicks humidifier']
39,39,['hold gallon']
40,99,['started making']
41,60,['night bed']
42,101,['loud noise']
43,32,['stopped working']
44,63,['fit perfectly']
45,6,['working week']
46,14,['electrode compartment']
47,92,['work bedroom']
48,96,['easy work']
49,93,['toilet paper']
50,15,['smell good']
51,53,['dry heat']
52,4,['releasing humidity']
53,74,['smell vicks']
54,98,['lasted night']
55,51,['tap water']
56,56,['work minute']
57,87,['mist humidifier']
58,26,['humidifier work']
59,70,['amp quot']
60,72,['easy maintain']
61,59,['boiling water']
62,20,['white chalk']
63,68,['vicks pad']
64,9,['work perfectly']
65,69,['waterless vaporizer']
66,12,['water steam']
67,83,['help breathing']
68,90,['humidifier nightly']
69,36,['easy filter']
70,77,['work advertised']
71,47,['work good']
72,58,['instruction cleaning']
73,82,['bad product']
74,7,['waste money']
75,100,['help sinus']
76,80,['cane humidifier']
77,81,['easy clean']
78,42,['easy fill']
79,78,['collected promotion']
80,13,['vicks vaporizer']
81,17,['clear plastic']
82,21,['product price']
83,85,['cool mist']
84,3,['steam water']
85,29,['comment issue']
86,66,['fcil de']
87,94,['definitely help']
88,50,['difficult clean']
89,35,['scent pad']
90,31,['distilled water']
91,79,['support html5']
92,40,['humidity room']
93,18,['put moisture']
94,55,['hard clean']
95,75,['heating element']
96,54,['product work']
97,5,['menthol vapor']
98,16,['leave review']
99,11,['replacement filter']
