Review ID,Month,Product Line,Star Rating,Review,Month_date,year
1188091,2022 / 01,HUMIDIFICATION-PHARMACY,4,"This seems to work OK, but has a weird plastic smell which after almost a year of use is still there.",1,2022
1188092,2022 / 01,HUMIDIFICATION-PHARMACY,4,"The Vicks Nursery 1 Gallon Vaporizer with Night-Light Warm Steam Vaporizer works great and easy to use. However, there is no adjustable feature. It only stops if it runs out of water/fluid or you unplug.",1,2022
1188098,2022 / 01,HUMIDIFICATION-PHARMACY,5,Thai really help my stop up nose,1,2022
1188104,2022 / 01,HUMIDIFICATION-PHARMACY,4,Anonymous User did not leave a review,1,2022
1188105,2022 / 01,HUMIDIFICATION-PHARMACY,3,"If your desperate for relief this will help. But dont expect it to last long. The decals started rubbing off almost Immediately. A bit overpriced for the quality, if you ask me. Youre better off buying the larger tank.",1,2022
1188106,2022 / 01,HUMIDIFICATION-PHARMACY,5,It steamed its best for me with kosher salt,1,2022
1188107,2022 / 01,HUMIDIFICATION-PHARMACY,4,Works. It indeed raises the humidity level of an area. One issue I have is to thoroughly remove the accumulated crud on the body of the steam emitter unit as the only means I see to do this is to disassemble the unit and remove the blue cover. Nonetheless I do not believe this step is recommended.,1,2022
1188108,2022 / 01,HUMIDIFICATION-PHARMACY,1,"The vapor is minimal, it doesn`t help at all. Plus: there is a big green light that will not let you sleep.",1,2022
1188109,2022 / 01,HUMIDIFICATION-PHARMACY,1,"I have used these humidifiers before and think they do a good job for the price-point. To avoid having to go in-store, I ordered this online for delivery. Received it today and Canadian Tire sent me a used one. There was residual water in the reservoir, as well as flaked-off mineral buildup that only happens when a humidifier has been used. Not cool, Canadian Tire. Buyers, beware.",1,2022
1188112,2022 / 01,HUMIDIFICATION-PHARMACY,5,Worked well for me when I was suffering from the flu,1,2022
1188117,2022 / 01,HUMIDIFICATION-PHARMACY,2,Broke after 1 month of use. Love the machine when it worked but didn't last long.,1,2022
1188120,2022 / 01,HUMIDIFICATION-PHARMACY,5,I love the product. It works perfectly.,1,2022
1188121,2022 / 01,HUMIDIFICATION-PHARMACY,2,Love the humidifier- I have 3- 2 started leaking at different times- went to clean them and BOTH have cracks in the acrylic in SAME place so it leaks! One leak is slow so we had been placing a pan underneath- the other leaks SO much it's not usable! I am so disappointed! It must be a manufacture defect in this part of the acrylic for them both to have cracks in same place. Otherwise I WAS happy with them but won't be buying this one again!,1,2022
1188123,2022 / 01,HUMIDIFICATION-PHARMACY,5,This really helped me a lot,1,2022
1188124,2022 / 01,HUMIDIFICATION-PHARMACY,1,this product is laughable,1,2022
1188141,2022 / 01,HUMIDIFICATION-PHARMACY,5,Easy to clean. No noise and very easy to use,1,2022
1188151,2022 / 01,HUMIDIFICATION-PHARMACY,5,Good,1,2022
1188164,2022 / 01,HUMIDIFICATION-PHARMACY,5,"I heat with wood from time to time, especially when its very cold, its drier in the bedroom, so it picks up humidity and its great with the machine.",1,2022
1188173,2022 / 01,HUMIDIFICATION-PHARMACY,5,Ideal for a bedroom.,1,2022
1188196,2022 / 01,HUMIDIFICATION-PHARMACY,5,received quickly and at a good price.,1,2022
1188201,2022 / 01,HUMIDIFICATION-PHARMACY,5,Spray of good quality and for the health of young children,1,2022
1188203,2022 / 01,HUMIDIFICATION-PHARMACY,5,Thanks to these capsules I no longer have a whitish film in my windows. Because before my humidifier without these capsules while doing.,1,2022
1188209,2022 / 01,HUMIDIFICATION-PHARMACY,3,Too small,1,2022
1188219,2022 / 01,HUMIDIFICATION-PHARMACY,5,Very good to avoid smell coming from limestone in the water when using humidifier,1,2022
1188227,2022 / 01,HUMIDIFICATION-PHARMACY,5,Works great,1,2022
1188235,2022 / 01,HUMIDIFICATION-PHARMACY,5,The vaporizer is easy to use and it helps with my sinuses and my throat. I would recommend it to anyone having sinusitis or allergies.,1,2022
1188236,2022 / 01,HUMIDIFICATION-PHARMACY,4,"We`ve been using Honeywell humidifiers for years but they can be pricey and high-maintenance, so I decided to give this one a try. It has only one setting and no On-Off switch, so I can`t give it full marks but it does what it does well. The reservoir is large enough to last for two nights and the steam output is just right for a medium-size bedroom, and it`s also quite quiet.",1,2022
1188237,2022 / 01,HUMIDIFICATION-PHARMACY,5,I use this to humidify the home in winter It raises the humidity of the house into the comfort zone and keeps it there warm mist is safer than cool because there`s no biohazard This one has good features and an operating light Safe heat guard so you can`t touch the hot steam outlet by mistake Runs a long time on one fill ... Shuts off when empty automatically,1,2022
1188240,2022 / 01,HUMIDIFICATION-PHARMACY,5,You should know that the what last 12 hour when on high,1,2022
1188249,2022 / 01,HUMIDIFICATION-PHARMACY,5,"Easy to use, just put a vicks pad in and plug into the wall",1,2022
1188252,2022 / 01,HUMIDIFICATION-PHARMACY,5,First: Critical thinking...to those of you who experienced a &amp;quot;LEMON&amp;quot; stop complaining,1,2022
1188258,2022 / 01,HUMIDIFICATION-PHARMACY,1,"It is constantly showing as invalid and I have to dump all the water that collects in the bottom, unplug it and repeat the same steps over and over again. Some sort of weird film has built up which cannot easily be scr off and it gets everywhere. Doesnt seem productive for easing breathing symptoms. I hate this thing",1,2022
1188259,2022 / 01,HUMIDIFICATION-PHARMACY,4,"Works well enough for what its intended for. I bought this so I could have something on my nightstand. The only issue I have with it is that there is no on/off button anywhere on it so to turn it on/off you have to unplug the entire thing. And if the outlet is in a hard to reach place (mine happens to be) it becomes quite a hassle to turn on and off, unless you want the thing running 24/7.",1,2022
1188266,2022 / 01,HUMIDIFICATION-PHARMACY,4,Works as anticipated,1,2022
1188273,2022 / 01,HUMIDIFICATION-PHARMACY,1,I bought this item to help my baby breathe better throughout the nights because she gets congested and this did not work at all. Couldn`t even smell the vicks. Very disappointed,1,2022
1188274,2022 / 01,HUMIDIFICATION-PHARMACY,5,I just wanted to try this product with my humidifier,1,2022
1188275,2022 / 01,HUMIDIFICATION-PHARMACY,1,"Smell really bad, like cleaning products. It make my coughing got worse. Not recomend this product.",1,2022
1188278,2022 / 01,HUMIDIFICATION-PHARMACY,5,Even though it has a small tank; the steam lasts all night in a 200 sq. ft. room.,1,2022
1188279,2022 / 01,HUMIDIFICATION-PHARMACY,5,"Got this a day earlier, easy setup and works great. Day 1!",1,2022
1188282,2022 / 01,HUMIDIFICATION-PHARMACY,4,"The filter does what it is supposed to do, remove minerals from the tap water, hence reducing white dust throughout the house. Probably last about a month with just nightime use. Cheaper than using distilled water.",1,2022
1188296,2022 / 01,HUMIDIFICATION-PHARMACY,3,"If the humidifier is above your head within a few inches diameter from you, you may get the benefit of the humidifier. Otherwise, all of the mist just settles beneath it - it doesnt disseminate throughout the roomIts also fairly loud when the water moves into the chamber. This happens every 20 minutes or so, so you hear the bubbling of it moving.Other than that, its nice. The pics on the ceiling are a nice touch and they automatically cycle.",1,2022
