topic_name,Negative,Neutral,Positive
best humidifier,202,88,611
breath better,206,131,579
distilled water,209,90,661
easy clean,235,92,594
easy set,187,129,699
easy work,189,92,790
excellent product,181,112,602
good product,225,89,662
hard clean,193,87,674
hard water,185,96,639
help breathe,322,145,621
hot water,223,94,615
humidifier work,194,114,616
humidity level,189,107,729
leave review,267,151,690
mist humidifiers,174,97,641
night light,217,119,903
perfect small,222,100,742
stopped working,229,115,642
vicks vapor,217,116,720
waste money,187,92,634
water tank,193,111,756
work easy,207,88,560
work good,187,477,590
