topic_name,Negative,Neutral,Positive
add dash,11.0,4.0,28.0
add salt,9.0,5.0,20.0
amazon customer,16.0,4.0,30.0
amp quot,13.0,6.0,11.0
carbon rod,11.0,5.0,21.0
cheaper model,10.0,3.0,13.0
clean humidifier,7.0,7.0,24.0
clear sinus,8.0,4.0,22.0
cold mist,14.0,7.0,18.0
cool mist,11.0,3.0,27.0
couple week,9.0,1.0,23.0
daughter sick,6.0,4.0,24.0
defective product,13.0,1.0,14.0
distilled water,9.0,7.0,22.0
dry air,10.0,3.0,25.0
dry weather,15.0,3.0,20.0
easy fill,4.0,8.0,25.0
essential oil,10.0,5.0,19.0
fill water,11.0,4.0,19.0
filled water,12.0,9.0,27.0
fit humidifier,12.0,7.0,21.0
good humidifier,11.0,4.0,28.0
good price,11.0,7.0,22.0
good product,7.0,10.0,20.0
good work,14.0,9.0,25.0
green light,16.0,3.0,19.0
hard clean,12.0,5.0,18.0
heating element,8.0,4.0,28.0
heating unit,13.0,8.0,22.0
help breathe,8.0,5.0,20.0
high setting,9.0,7.0,31.0
highest setting,4.0,15.0,16.0
hour buy,7.0,3.0,26.0
humidifier broken,6.0,2.0,32.0
humidifier day,10.0,7.0,35.0
humidifier time,14.0,9.0,33.0
humidity room,3.0,7.0,26.0
item leaking,5.0,3.0,22.0
keep clean,10.0,8.0,15.0
leak water,10.0,4.0,16.0
leave review,6.0,4.0,27.0
liquid inhalant,19.0,4.0,26.0
mist humidifier,10.0,2.0,21.0
moisture air,10.0,7.0,22.0
money buy,11.0,6.0,14.0
money product,12.0,3.0,26.0
morning issue,8.0,9.0,23.0
night sleep,8.0,9.0,26.0
night time,12.0,2.0,20.0
pad work,13.0,4.0,21.0
place top,12.0,4.0,23.0
plastic smell,11.0,4.0,18.0
prior model,13.0,2.0,32.0
product easy,7.0,2.0,29.0
product price,7.0,3.0,19.0
product work,3.0,7.0,24.0
rated star,15.0,6.0,18.0
reapplying vicks,9.0,5.0,22.0
red light,12.0,2.0,34.0
salt steam,9.0,9.0,33.0
season keep,8.0,9.0,21.0
setting quiet,8.0,5.0,35.0
setting water,11.0,5.0,23.0
sinus infection,10.0,5.0,33.0
sleep better,10.0,3.0,27.0
small room,11.0,6.0,27.0
smell vicks,6.0,3.0,26.0
smell work,11.0,4.0,30.0
sore throat,9.0,4.0,27.0
steam inhaler,14.0,10.0,20.0
steam room,13.0,4.0,31.0
steam start,7.0,7.0,23.0
strong smell,5.0,284.0,33.0
super easy,13.0,1.0,29.0
tank water,10.0,,24.0
uncomfortably dry,10.0,3.0,20.0
vapor pad,4.0,6.0,22.0
vicks insert,11.0,5.0,30.0
vicks model,8.0,6.0,27.0
vicks pad,10.0,3.0,23.0
walked stopped,14.0,4.0,16.0
warm mist,9.0,2.0,30.0
warm steam,6.0,7.0,25.0
waste money,11.0,4.0,21.0
water basin,8.0,10.0,33.0
water steam,9.0,9.0,16.0
water tank,8.0,8.0,24.0
waterless humidifier,12.0,4.0,28.0
winter month,6.0,7.0,20.0
work advertised,20.0,6.0,24.0
work better,14.0,4.0,14.0
work bought,9.0,8.0,19.0
work easy,13.0,9.0,37.0
work expected,11.0,3.0,20.0
work good,9.0,3.0,21.0
work perfectly,12.0,2.0,28.0
work wonder,5.0,12.0,27.0
working day,13.0,4.0,12.0
worth money,9.0,5.0,30.0
